feature,mutual_info,f_score,f_pvalue,rf_importance,mutual_info_norm,f_score_norm,rf_importance_norm,composite_score,category
outage_hour,0.7454175059717629,2430671.529646947,0.0,0.8040706859101696,1.0,1.0,1.0,1.0,Other
year,0.19244427589295032,1146549.7953932183,0.0,0.09919968975358343,0.25816978317683925,0.47170083715908484,0.12337185211682491,0.28441415748424964,Temporal
state_risk_score,0.08317585826205032,576790.8982514531,0.0,0.03412694829603563,0.11158291507202822,0.23729693264446614,0.04244272163386426,0.13044085645011955,Geographic
state_risk_category,0.23580417585602276,68501.96766154496,0.0,0.02084448338111631,0.3163383928696668,0.02818232197399984,0.02592369520040561,0.12348147001469074,Geographic
high_risk_state,0.10987148307165029,309774.57005269337,0.0,0.014906269553321496,0.14739589852859228,0.1274440278229152,0.018538506395676283,0.0977928109157279,Geographic
region_risk_score,0.12953596273235046,92411.57775484618,0.0,0.0033370707488653544,0.1737763893316149,0.03801894934288751,0.004150220630276988,0.07198185310159314,Geographic
prcp_category,0.15905097097395227,55.59456430732797,8.908750683949458e-14,0.00013757361268088516,0.2133716604449819,2.2872100828614647e-05,0.0001710964161380394,0.07118854298731618,Weather
has_precipitation,0.13446663006901183,46.69975713784534,8.275108852184411e-12,7.37105907844016e-05,0.18039102783575564,1.921269763036573e-05,9.16717797030055e-05,0.060167304104363,Weather
tmax_bin,0.11875001116703054,1111.667672106248,1.0394284957151908e-243,0.0002804343435422532,0.15930671095820614,0.0004573500197567693,0.00034876827181532546,0.05337094308325941,Weather
region_encoded,0.11536426085400842,853.9582057972252,1.0495500231548021e-187,0.0017427987777809287,0.15476462509907637,0.0003513260411295729,0.0021674696122122197,0.05242780691747273,Geographic
day_of_week_cos,0.10881335962448424,126.73060239411599,2.130013223003805e-29,0.000164347289299794,0.1459763941049785,5.213810292685804e-05,0.0002043940814901873,0.048744308763131856,Temporal
tmin_bin,0.10805835612324444,1596.2865126666961,0.0,0.00036249695259822396,0.14496353420406224,0.0006567265437541679,0.00045082722072860385,0.04869036265618168,Weather
month_group,0.10630871842144907,1977.367526292842,0.0,0.0002895908425912356,0.14261634261306996,0.0008135066800161406,0.00036015595104481714,0.04793000174804365,Temporal
season,0.10511667416583848,43.73664480912314,3.757185908744405e-11,0.0001831658625846751,0.1410171793977433,1.799364672505785e-05,0.00022779820952848205,0.04708765708466561,Temporal
state_encoded,0.08585154138345641,3890.029403791778,0.0,0.004171637230369748,0.11517242444089922,0.001600392877583423,0.00518814738986244,0.040653654902781694,Geographic
